year,borough,zip,complaints,pop,complaints_norm,median_income,pct_below_poverty
2021,BRONX,10451,2908,50118,5802.306557,33945,33.64001175
2021,BRONX,10452,5526,79838,6921.51607,33877,35.88761632
2021,BRONX,10453,4522,80393,5624.867837,34860,34.21619294
2021,BRONX,10454,1160,38908,2981.392002,21846,45.9218739
2021,BRONX,10455,1910,42781,4464.59877,30741,35.34103235
2021,BRONX,10456,3763,90314,4166.574396,31166,38.78239485
2021,BRONX,10457,7784,79443,9798.220107,38066,33.50985126
2021,BRONX,10458,5865,86757,6760.26142,38768,31.17909935
2021,BRONX,10459,2428,51303,4732.666706,36631,29.34739013
2021,BRONX,10460,3140,59979,5235.165641,31504,36.18249534
2021,BRONX,10461,1291,52756,2447.11502,61087,16.17585412
2021,BRONX,10462,5670,78470,7225.691347,59032,17.58871427
2021,BRONX,10463,3046,73256,4158.021186,63048,17.07890467
2021,BRONX,10464,41,4417,928.2318316,118972,6.384065373
2021,BRONX,10465,469,46205,1015.041662,80245,16.64918882
2021,BRONX,10466,2119,75767,2796.732087,62918,19.38114656
2021,BRONX,10467,5468,102209,5349.822423,42639,25.81532417
2021,BRONX,10468,5606,82480,6796.799224,40138,30.36157582
2021,BRONX,10469,1335,75290,1773.143844,70415,17.19181868
2021,BRONX,10470,979,16446,5952.815274,70107,10.66749844
2021,BRONX,10471,263,23387,1124.556377,96368,7.310038824
2021,BRONX,10472,2759,66720,4135.191847,36730,32.1128177
2021,BRONX,10473,1341,60296,2224.028128,48212,24.19729899
2021,BRONX,10474,524,11312,4632.248939,33157,39.35324747
2021,BRONX,10475,140,44509,314.5431261,56327,11.82287188
2021,QUEENS,11001,5,26818,18.6441942,132344,3.49907919
2021,QUEENS,11004,24,16426,146.1098259,100174,7.468879668
2021,QUEENS,11040,5,42634,11.72772904,140368,4.242922238
2021,QUEENS,11101,332,33789,982.5682915,98920,13.32783557
2021,QUEENS,11102,639,27876,2292.294447,95478,13.20016307
2021,QUEENS,11103,506,35912,1408.999777,82597,10.16435707
2021,QUEENS,11104,797,27575,2890.299184,81142,9.238031018
2021,QUEENS,11105,652,38311,1701.861084,93200,9.034653465
2021,QUEENS,11106,731,40472,1806.186993,71972,11.35253772
2021,QUEENS,11109,3,6712,44.69606675,160898,1.383081377
2021,BROOKLYN,11201,291,68777,423.1065618,148282,10.39763222
2021,BROOKLYN,11203,2216,79499,2787.456446,61414,15.00586166
2021,BROOKLYN,11204,1230,82140,1497.443389,58850,18.40361804
2021,BROOKLYN,11205,478,50681,943.1542393,68607,22.12572374
2021,BROOKLYN,11206,1093,90903,1202.380559,49013,31.39557205
2021,BROOKLYN,11207,1982,97690,2028.866824,45616,28.07683257
2021,BROOKLYN,11208,1773,107724,1645.872786,49679,23.73699741
2021,BROOKLYN,11209,2560,72938,3509.830267,84145,11.27363184
2021,BROOKLYN,11210,1842,65854,2797.096608,77378,10.97605893
2021,BROOKLYN,11211,979,65925,1485.020857,89091,17.41047466
2021,BROOKLYN,11212,2379,78296,3038.469398,30733,35.25352915
2021,BROOKLYN,11213,3370,69392,4856.467604,48896,21.8139321
2021,BROOKLYN,11214,1425,95361,1494.321578,58487,18.19901627
2021,BROOKLYN,11215,770,73419,1048.77484,156930,5.429494812
2021,BROOKLYN,11216,1903,62210,3058.993731,84661,14.32620853
2021,BROOKLYN,11217,470,42107,1116.203957,133269,12.7797474
2021,BROOKLYN,11218,1708,76370,2236.480293,81857,11.95868401
2021,BROOKLYN,11219,666,93119,715.2138661,44450,29.84166667
